"scenario_descriptor","climate_scenario_num","mgmt_scenario_grp","mgmt_scenario_opt","scenario_name","scenario_abbrev","climate_esm","climate_esm_scenario","climate_esm.1","climate_desc"
"Redu Fert 5%, Crop Rotation",3,4,"1","3_41","RF05-CR","GFDL_ESM4","SSP5-8.5","GFDL_ESM4","GFDL_High"
"Redu Fert 15%, Crop Rotation",3,4,"2","3_42","RF15-CR","GFDL_ESM4","SSP5-8.5","GFDL_ESM4","GFDL_High"
"Redu Fert 25%, Crop Rotation",3,4,"3","3_43","RF25-CR","GFDL_ESM4","SSP5-8.5","GFDL_ESM4","GFDL_High"
"Redu Fert 35%, Crop Rotation",3,4,"4","3_44","RF35-CR","GFDL_ESM4","SSP5-8.5","GFDL_ESM4","GFDL_High"
"Rmv Resid 50%, Crop Rotation",3,5,"1","3_51","RR50-CR","GFDL_ESM4","SSP5-8.5","GFDL_ESM4","GFDL_High"
"Rmv Resid 25%, Crop Rotation",3,5,"2","3_52","RR25-CR","GFDL_ESM4","SSP5-8.5","GFDL_ESM4","GFDL_High"
"Rmv Resid 0%, Crop Rotation",3,5,"3","3_53","RR00-CR","GFDL_ESM4","SSP5-8.5","GFDL_ESM4","GFDL_High"
"Rmv Resid 50%, No Till, Crop Rotation",3,5,"1","3_54","RR50-NT-CR","GFDL_ESM4","SSP5-8.5","GFDL_ESM4","GFDL_High"
"Rmv Resid 25%, No Till, Crop Rotation",3,5,"2","3_55","RR25-NT-CR","GFDL_ESM4","SSP5-8.5","GFDL_ESM4","GFDL_High"
"Rmv Resid 0%, No Till, Crop Rotation",3,5,"3","3_56","RR00-NT-CR","GFDL_ESM4","SSP5-8.5","GFDL_ESM4","GFDL_High"
"Biochar 19 Mgha, Crop Rotation",3,6,"1","3_61","BC19-CR","GFDL_ESM4","SSP5-8.5","GFDL_ESM4","GFDL_High"
"Biochar 38 Mgha, Crop Rotation",3,6,"2","3_62","BC38-CR","GFDL_ESM4","SSP5-8.5","GFDL_ESM4","GFDL_High"
"Biochar 57 Mgha, Crop Rotation",3,6,"3","3_63","BC57-CR","GFDL_ESM4","SSP5-8.5","GFDL_ESM4","GFDL_High"
"Biochar 76 Mgha, Crop Rotation",3,6,"4","3_64","BC76-CR","GFDL_ESM4","SSP5-8.5","GFDL_ESM4","GFDL_High"
"Biochar 96 Mgha, Crop Rotation",3,6,"5","3_65","BC96-CR","GFDL_ESM4","SSP5-8.5","GFDL_ESM4","GFDL_High"
"Continuous Crop",3,7,"","3_7","CN","GFDL_ESM4","SSP5-8.5","GFDL_ESM4","GFDL_High"
"No Till, Cover Crop, Crop Rotation",3,8,"","3_8","CC-NT-CR","GFDL_ESM4","SSP5-8.5","GFDL_ESM4","GFDL_High"
"Cover Crop, Crop Rotation",4,3,"","4_3","CC-CR","UKESM1-0-LL","SSP1-2.6","UKESM1-0-LL","UKESM_Low"
"Redu Fert 5%, Crop Rotation",4,4,"1","4_41","RF05-CR","UKESM1-0-LL","SSP1-2.6","UKESM1-0-LL","UKESM_Low"
"Redu Fert 15%, Crop Rotation",4,4,"2","4_42","RF15-CR","UKESM1-0-LL","SSP1-2.6","UKESM1-0-LL","UKESM_Low"
"Redu Fert 25%, Crop Rotation",4,4,"3","4_43","RF25-CR","UKESM1-0-LL","SSP1-2.6","UKESM1-0-LL","UKESM_Low"
"Redu Fert 35%, Crop Rotation",4,4,"4","4_44","RF35-CR","UKESM1-0-LL","SSP1-2.6","UKESM1-0-LL","UKESM_Low"
"Rmv Resid 50%, Crop Rotation",4,5,"1","4_51","RR50-CR","UKESM1-0-LL","SSP1-2.6","UKESM1-0-LL","UKESM_Low"
"Rmv Resid 25%, Crop Rotation",4,5,"2","4_52","RR25-CR","UKESM1-0-LL","SSP1-2.6","UKESM1-0-LL","UKESM_Low"
"Rmv Resid 0%, Crop Rotation",4,5,"3","4_53","RR00-CR","UKESM1-0-LL","SSP1-2.6","UKESM1-0-LL","UKESM_Low"
"Rmv Resid 50%, No Till, Crop Rotation",4,5,"1","4_54","RR50-NT-CR","UKESM1-0-LL","SSP1-2.6","UKESM1-0-LL","UKESM_Low"
"Rmv Resid 25%, No Till, Crop Rotation",4,5,"2","4_55","RR25-NT-CR","UKESM1-0-LL","SSP1-2.6","UKESM1-0-LL","UKESM_Low"
"Rmv Resid 0%, No Till, Crop Rotation",4,5,"3","4_56","RR00-NT-CR","UKESM1-0-LL","SSP1-2.6","UKESM1-0-LL","UKESM_Low"
"Biochar 19 Mgha, Crop Rotation",4,6,"1","4_61","BC19-CR","UKESM1-0-LL","SSP1-2.6","UKESM1-0-LL","UKESM_Low"
"Biochar 38 Mgha, Crop Rotation",4,6,"2","4_62","BC38-CR","UKESM1-0-LL","SSP1-2.6","UKESM1-0-LL","UKESM_Low"
"Biochar 57 Mgha, Crop Rotation",4,6,"3","4_63","BC57-CR","UKESM1-0-LL","SSP1-2.6","UKESM1-0-LL","UKESM_Low"
"Biochar 76 Mgha, Crop Rotation",4,6,"4","4_64","BC76-CR","UKESM1-0-LL","SSP1-2.6","UKESM1-0-LL","UKESM_Low"
"Biochar 96 Mgha, Crop Rotation",4,6,"5","4_65","BC96-CR","UKESM1-0-LL","SSP1-2.6","UKESM1-0-LL","UKESM_Low"
"Continuous Crop",4,7,"","4_7","CN","UKESM1-0-LL","SSP1-2.6","UKESM1-0-LL","UKESM_Low"
"No Till, Cover Crop, Crop Rotation",4,8,"","4_8","CC-NT-CR","UKESM1-0-LL","SSP1-2.6","UKESM1-0-LL","UKESM_Low"
"Cover Crop, Crop Rotation",5,3,"","5_3","CC-CR","UKESM1-0-LL","SSP5-8.5","UKESM1-0-LL","UKESM_High"
"Redu Fert 5%, Crop Rotation",5,4,"1","5_41","RF05-CR","UKESM1-0-LL","SSP5-8.5","UKESM1-0-LL","UKESM_High"
"Redu Fert 15%, Crop Rotation",5,4,"2","5_42","RF15-CR","UKESM1-0-LL","SSP5-8.5","UKESM1-0-LL","UKESM_High"
"Redu Fert 25%, Crop Rotation",5,4,"3","5_43","RF25-CR","UKESM1-0-LL","SSP5-8.5","UKESM1-0-LL","UKESM_High"
"Redu Fert 35%, Crop Rotation",5,4,"4","5_44","RF35-CR","UKESM1-0-LL","SSP5-8.5","UKESM1-0-LL","UKESM_High"
"Rmv Resid 50%, Crop Rotation",5,5,"1","5_51","RR50-CR","UKESM1-0-LL","SSP5-8.5","UKESM1-0-LL","UKESM_High"
"Rmv Resid 25%, Crop Rotation",5,5,"2","5_52","RR25-CR","UKESM1-0-LL","SSP5-8.5","UKESM1-0-LL","UKESM_High"
"Rmv Resid 0%, Crop Rotation",5,5,"3","5_53","RR00-CR","UKESM1-0-LL","SSP5-8.5","UKESM1-0-LL","UKESM_High"
"Rmv Resid 50%, No Till, Crop Rotation",5,5,"1","5_54","RR50-NT-CR","UKESM1-0-LL","SSP5-8.5","UKESM1-0-LL","UKESM_High"
"Rmv Resid 25%, No Till, Crop Rotation",5,5,"2","5_55","RR25-NT-CR","UKESM1-0-LL","SSP5-8.5","UKESM1-0-LL","UKESM_High"
"Rmv Resid 0%, No Till, Crop Rotation",5,5,"3","5_56","RR00-NT-CR","UKESM1-0-LL","SSP5-8.5","UKESM1-0-LL","UKESM_High"
"Biochar 19 Mgha, Crop Rotation",5,6,"1","5_61","BC19-CR","UKESM1-0-LL","SSP5-8.5","UKESM1-0-LL","UKESM_High"
"Biochar 38 Mgha, Crop Rotation",5,6,"2","5_62","BC38-CR","UKESM1-0-LL","SSP5-8.5","UKESM1-0-LL","UKESM_High"
"Biochar 57 Mgha, Crop Rotation",5,6,"3","5_63","BC57-CR","UKESM1-0-LL","SSP5-8.5","UKESM1-0-LL","UKESM_High"
"Biochar 76 Mgha, Crop Rotation",5,6,"4","5_64","BC76-CR","UKESM1-0-LL","SSP5-8.5","UKESM1-0-LL","UKESM_High"
"Biochar 96 Mgha, Crop Rotation",5,6,"5","5_65","BC96-CR","UKESM1-0-LL","SSP5-8.5","UKESM1-0-LL","UKESM_High"
"Continuous Crop",5,7,"","5_7","CN","UKESM1-0-LL","SSP5-8.5","UKESM1-0-LL","UKESM_High"
"No Till, Cover Crop, Crop Rotation",5,8,"","5_8","CC-NT-CR","UKESM1-0-LL","SSP5-8.5","UKESM1-0-LL","UKESM_High"
