Obs_date,Treatment,Plot,Observation_type,Equipment
10/29/2020,T1,T1R1,Harvest,John Deere S660 Combine
10/29/2020,T1,T1R1,Harvest,Truck # 1653 (White Dodge RAM 5500 with Flat Bed)
10/29/2020,T1,T1R1,Harvest,"Weigh Wagon, Brent by Unverferth Manufacturing Co."
10/29/2020,T1,T1R1,Harvest,Truck #1270 (White/Green)
10/29/2020,T1,T1R1,Harvest,Truck #1271 (Blue/White)
10/29/2020,T1,T1R1,Harvest,Truck #892 (Blue/Red)
10/21/2020,T1,T1R1,Harvest,Kincaid 8XP Plot Combine
10/21/2020,T1,T1R1,Harvest,Truck #892 (Blue/Red)
6/24/2020,T1,T1R1,Fertilizer application,28% (FSC Built) Six Row Fertilizer Applicator
6/18/2020,T1,T1R1,Fertilizer application,28% (FSC Built) Six Row Fertilizer Applicator
5/13/2020,T1,T1R1,Planting,John Deere 1730 Maxemerge Plus Planter
5/13/2020,T1,T1R1,Fertilizer application,John Deere 1730 Maxemerge Plus Planter
5/6/2020,T1,T1R1,Soil Preparation,John Deere 714 Chisel plow
5/5/2020,T1,T1R1,Soil Preparation,"John Deere 726 15'9"" soil finisher"
5/4/2020,T1,T1R1,Soil Preparation,John Deere 714 Chisel plow
4/16/2020,T1,T1R1,Fertilizer application,Gandy Orbit-Air (30' boom)
1/15/2020,T1,T1R1,Soil Preparation,John Deere 714 Chisel plow
10/18/2019,T1,T1R1,Weed control,Top Air Sprayer
10/18/2019,T1,T1R1,Weed control,TurboTwinJet 1103 Flat Fan Nozzles
10/18/2019,T1,T1R1,Pesticide application,TurboTwinJet 1103 Flat Fan Nozzles
10/18/2019,T1,T1R1,Pesticide application,Top Air Sprayer
8/13/2019,T1,T1R1,Pesticide application,TurboTwinJet 1103 Flat Fan Nozzles
8/13/2019,T1,T1R1,Pesticide application,Top Air Sprayer
8/13/2019,T1,T1R1,Weed control,TurboTwinJet 1103 Flat Fan Nozzles
8/13/2019,T1,T1R1,Weed control,Top Air Sprayer
7/24/2019,T1,T1R1,Harvest,Truck #892 (Blue/Red)
7/24/2019,T1,T1R1,Harvest,"Weigh Wagon, Brent by Unverferth Manufacturing Co."
7/24/2019,T1,T1R1,Harvest,Truck # 1653 (White Dodge RAM 5500 with Flat Bed)
7/24/2019,T1,T1R1,Harvest,John Deere  9410 combine
7/24/2019,T1,T1R1,Harvest,Truck #1271 (Blue/White)
7/24/2019,T1,T1R1,Harvest,Truck #1270 (White/Green)
6/21/2019,T1,T1R1,Pesticide application,TurboTwinJet 1103 Flat Fan Nozzles
6/21/2019,T1,T1R1,Pesticide application,Top Air Sprayer
6/3/2019,T1,T1R1,Pesticide application,TurboTwinJet 1103 Flat Fan Nozzles
6/3/2019,T1,T1R1,Pesticide application,Top Air Sprayer
5/5/2019,T1,T1R1,Fertilizer application,Top Air Sprayer
5/5/2019,T1,T1R1,Fertilizer application,Chafer Stream Bars
4/17/2019,T1,T1R1,Pesticide application,Top Air Sprayer
4/17/2019,T1,T1R1,Weed control,Top Air Sprayer
4/17/2019,T1,T1R1,Weed control,TurboTwinJet 1103 Flat Fan Nozzles
4/17/2019,T1,T1R1,Pesticide application,TurboTwinJet 1103 Flat Fan Nozzles
3/28/2019,T1,T1R1,Fertilizer application,Gandy Orbit-Air (30' boom)
3/26/2019,T1,T1R1,Fertilizer application,Chafer Stream Bars
3/26/2019,T1,T1R1,Fertilizer application,Top Air Sprayer
10/19/2018,T1,T1R1,Planting,John Deere 1590 15' no-till drill
10/18/2018,T1,T1R1,Soil Preparation,"John Deere 726 15'9"" soil finisher"
10/17/2018,T1,T1R1,Soil Preparation,John Deere 714 Chisel plow
10/9/2018,T1,T1R1,Harvest,Truck #1271 (Blue/White)
10/9/2018,T1,T1R1,Harvest,Truck #892 (Blue/Red)
10/9/2018,T1,T1R1,Harvest,Truck #1270 (White/Green)
10/9/2018,T1,T1R1,Harvest,"Weigh Wagon, Brent by Unverferth Manufacturing Co."
10/9/2018,T1,T1R1,Harvest,Truck # 1653 (White Dodge RAM 5500 with Flat Bed)
10/9/2018,T1,T1R1,Harvest,John Deere  9410 combine
7/12/2018,T1,T1R1,Pesticide application,TurboTwinJet 1103 Flat Fan Nozzles
7/12/2018,T1,T1R1,Weed control,TurboTwinJet 1103 Flat Fan Nozzles
7/12/2018,T1,T1R1,Weed control,Top Air Sprayer
7/12/2018,T1,T1R1,Pesticide application,Top Air Sprayer
5/27/2018,T1,T1R1,Weed control,Top Air Sprayer
5/27/2018,T1,T1R1,Pesticide application,TurboTwinJet 1103 Flat Fan Nozzles
5/27/2018,T1,T1R1,Pesticide application,Top Air Sprayer
5/27/2018,T1,T1R1,Planting,John Deere 1730 Maxemerge Plus Planter
5/27/2018,T1,T1R1,Weed control,TurboTwinJet 1103 Flat Fan Nozzles
5/25/2018,T1,T1R1,Soil Preparation,"John Deere 726 15'9"" soil finisher"
5/24/2018,T1,T1R1,Fertilizer application,spreader
12/2/2017,T1,T1R1,Soil Preparation,John Deere 714 Chisel plow
11/7/2017,T1,T1R1,Mowing,John Deere 115 15' flail mower
10/18/2017,T1,T1R1,Harvest,"Weigh Wagon, Brent by Unverferth Manufacturing Co."
10/18/2017,T1,T1R1,Harvest,John Deere  9410 combine
10/18/2017,T1,T1R1,Harvest,Truck #892 (Blue/Red)
10/18/2017,T1,T1R1,Harvest,Truck #1271 (Blue/White)
10/18/2017,T1,T1R1,Harvest,Truck #1270 (White/Green)
10/18/2017,T1,T1R1,Harvest,Truck # 1653 (White Dodge RAM 5500 with Flat Bed)
6/21/2017,T1,T1R1,Fertilizer application,28% (FSC Built) Six Row Fertilizer Applicator
6/9/2017,T1,T1R1,Pesticide application,Top Air Sprayer
6/9/2017,T1,T1R1,Weed control,TurboTwinJet 1103 Flat Fan Nozzles
6/9/2017,T1,T1R1,Pesticide application,TurboTwinJet 1103 Flat Fan Nozzles
6/9/2017,T1,T1R1,Weed control,Top Air Sprayer
5/16/2017,T1,T1R1,Fertilizer application,John Deere 1730 Maxemerge Plus Planter
5/16/2017,T1,T1R1,Planting,John Deere 1730 Maxemerge Plus Planter
5/15/2017,T1,T1R1,Soil Preparation,"John Deere 726 15'9"" soil finisher"
5/9/2017,T1,T1R1,Soil Preparation,"John Deere 726 15'9"" soil finisher"
5/8/2017,T1,T1R1,Fertilizer application,Gandy Orbit-Air (30' boom)
4/27/2017,T1,T1R1,Soil Preparation,"John Deere 726 15'9"" soil finisher"
4/18/2017,T1,T1R1,Soil Preparation,John Deere 714 Chisel plow
8/29/2016,T1,T1R1,Pesticide application,Top Air Sprayer
8/29/2016,T1,T1R1,Weed control,TurboTwinJet 1103 Flat Fan Nozzles
8/29/2016,T1,T1R1,Weed control,Top Air Sprayer
8/29/2016,T1,T1R1,Pesticide application,TurboTwinJet 1103 Flat Fan Nozzles
7/12/2016,T1,T1R1,Harvest,Truck #1271 (Blue/White)
7/12/2016,T1,T1R1,Harvest,John Deere  9410 combine
7/12/2016,T1,T1R1,Harvest,truck - for hauling
7/12/2016,T1,T1R1,Harvest,"Weigh Wagon, Brent by Unverferth Manufacturing Co."
7/12/2016,T1,T1R1,Harvest,Truck #892 (Blue/Red)
6/3/2016,T1,T1R1,Pesticide application,Top Air Sprayer
6/3/2016,T1,T1R1,Pesticide application,TurboTwinJet 1103 Flat Fan Nozzles
4/24/2016,T1,T1R1,Fertilizer application,Top Air Sprayer
4/24/2016,T1,T1R1,Fertilizer application,Chafer Stream Bars
4/16/2016,T1,T1R1,Weed control,Top Air Sprayer
4/16/2016,T1,T1R1,Weed control,TurboTeeJet 11003 Flat Fan Nozzle
4/16/2016,T1,T1R1,Pesticide application,TurboTeeJet 11003 Flat Fan Nozzle
4/16/2016,T1,T1R1,Pesticide application,Top Air Sprayer
4/5/2016,T1,T1R1,Fertilizer application,Gandy Orbit-Air (30' boom)
3/21/2016,T1,T1R1,Fertilizer application,Chafer Stream Bars
3/21/2016,T1,T1R1,Fertilizer application,Top Air Sprayer
10/6/2015,T1,T1R1,Planting,John Deere 1590 15' no-till drill
10/5/2015,T1,T1R1,Soil Preparation,"John Deere 726 15'9"" soil finisher"
10/3/2015,T1,T1R1,Soil Preparation,John Deere 714 Chisel plow
9/30/2015,T1,T1R1,Harvest,Truck #892 (Blue/Red)
9/30/2015,T1,T1R1,Harvest,Truck #1271 (Blue/White)
9/30/2015,T1,T1R1,Harvest,Truck #1270 (White/Green)
9/30/2015,T1,T1R1,Harvest,"Weigh Wagon, Brent by Unverferth Manufacturing Co."
9/30/2015,T1,T1R1,Harvest,John Deere  9410 combine
7/23/2015,T1,T1R1,Pesticide application,Top Air Sprayer
7/23/2015,T1,T1R1,Weed control,TurboTeeJet 11003 Flat Fan Nozzle
7/23/2015,T1,T1R1,Weed control,Top Air Sprayer
7/23/2015,T1,T1R1,Pesticide application,TurboTeeJet 11003 Flat Fan Nozzle
5/22/2015,T1,T1R1,Weed control,Turbo TeeJet 11002 Flat Fan Nozzles
5/22/2015,T1,T1R1,Weed control,Top Air Sprayer
5/22/2015,T1,T1R1,Pesticide application,Turbo TeeJet 11002 Flat Fan Nozzles
5/22/2015,T1,T1R1,Pesticide application,Top Air Sprayer
5/19/2015,T1,T1R1,Soil Preparation,John Deere 970 12 ft Cultimulcher
5/19/2015,T1,T1R1,Planting,John Deere 1730 Maxemerge Plus Planter
5/18/2015,T1,T1R1,Soil Preparation,"John Deere 726 15'9"" soil finisher"
5/2/2015,T1,T1R1,Soil Preparation,John Deere 714 Chisel plow
4/14/2015,T1,T1R1,Fertilizer application,Gandy Orbit-Air (30' boom)
4/6/2015,T1,T1R1,Fertilizer application,Gandy Orbit-Air (30' boom)
11/7/2014,T1,T1R1,Mowing,John Deere 115 15' flail mower
10/30/2014,T1,T1R1,Harvest,"Weigh Wagon, Brent by Unverferth Manufacturing Co."
10/30/2014,T1,T1R1,Harvest,John Deere  9410 combine
10/30/2014,T1,T1R1,Harvest,Wagon
10/30/2014,T1,T1R1,Harvest,Truck #1271 (Blue/White)
10/30/2014,T1,T1R1,Harvest,Truck #1270 (White/Green)
10/30/2014,T1,T1R1,Harvest,Truck #892 (Blue/Red)
6/17/2014,T1,T1R1,Fertilizer application,28% CLARK Six Row Fertilizer Applicator
5/24/2014,T1,T1R1,Pesticide application,Top Air Sprayer
5/24/2014,T1,T1R1,Pesticide application,TurboTeeJet 11003 Flat Fan Nozzle
5/24/2014,T1,T1R1,Weed control,TurboTeeJet 11003 Flat Fan Nozzle
5/24/2014,T1,T1R1,Weed control,Top Air Sprayer
5/20/2014,T1,T1R1,Planting,John Deere 1730 Maxemerge Plus Planter
5/20/2014,T1,T1R1,Fertilizer application,John Deere 1730 Maxemerge Plus Planter
5/12/2014,T1,T1R1,Planting,John Deere 1730 Maxemerge Plus Planter
5/12/2014,T1,T1R1,Soil Preparation,"John Deere 726 15'9"" soil finisher"
5/12/2014,T1,T1R1,Fertilizer application,John Deere 1730 Maxemerge Plus Planter
5/5/2014,T1,T1R1,Soil Preparation,"John Deere 726 15'9"" soil finisher"
4/23/2014,T1,T1R1,Soil Preparation,John Deere 714 Chisel plow
4/18/2014,T1,T1R1,Fertilizer application,Gandy Orbit-Air (30' boom)
8/29/2013,T1,T1R1,Pesticide application,TurboTeeJet 11003 Flat Fan Nozzle
8/29/2013,T1,T1R1,Pesticide application,Top Air Sprayer
8/29/2013,T1,T1R1,Weed control,Top Air Sprayer
8/29/2013,T1,T1R1,Weed control,TurboTeeJet 11003 Flat Fan Nozzle
8/20/2013,T1,T1R1,Weed control,John Deere 115 15' flail mower
8/20/2013,T1,T1R1,Pesticide application,John Deere 115 15' flail mower
8/20/2013,T1,T1R1,Mowing,John Deere 115 15' flail mower
7/25/2013,T1,T1R1,Harvest,John Deere 385 round baler
7/25/2013,T1,T1R1,Harvest,truck - for hauling
7/24/2013,T1,T1R1,Harvest,Truck #1271 (Blue/White)
7/24/2013,T1,T1R1,Harvest,John Deere  9410 combine
7/24/2013,T1,T1R1,Harvest,Truck #892 (Blue/Red)
7/24/2013,T1,T1R1,Harvest,Truck #1270 (White/Green)
7/24/2013,T1,T1R1,Harvest,"Weigh Wagon, Brent by Unverferth Manufacturing Co."
5/2/2013,T1,T1R1,Fertilizer application,Turbo TeeJet 11005 Flat Fan Nozzle
5/2/2013,T1,T1R1,Fertilizer application,Top Air Sprayer
4/29/2013,T1,T1R1,Weed control,Top Air Sprayer
4/29/2013,T1,T1R1,Pesticide application,Top Air Sprayer
4/29/2013,T1,T1R1,Pesticide application,TurboTeeJet 11003 Flat Fan Nozzle
4/29/2013,T1,T1R1,Weed control,TurboTeeJet 11003 Flat Fan Nozzle
11/6/2012,T1,T1R1,Soil Preparation,"John Deere 726 15'9"" soil finisher"
11/5/2012,T1,T1R1,Soil Preparation,"John Deere 726 15'9"" soil finisher"
10/11/2012,T1,T1R1,Harvest,John Deere  9410 combine
10/11/2012,T1,T1R1,Harvest,Truck #1270 (White/Green)
10/11/2012,T1,T1R1,Harvest,"Weigh Wagon, Brent by Unverferth Manufacturing Co."
10/2/2012,T1,T1R1,Mowing,John Deere 115 15' flail mower
8/3/2012,T1,T1R1,Pesticide application,ridger...for ridging?
8/3/2012,T1,T1R1,Pesticide application,Hagie Sprayer
6/22/2012,T1,T1R1,Weed control,TurboTeeJet 11003 Flat Fan Nozzle
6/22/2012,T1,T1R1,Weed control,Top Air Sprayer
5/19/2012,T1,T1R1,Soil Preparation,John Deere 970 12 ft Cultimulcher
5/19/2012,T1,T1R1,Planting,John Deere 1730 Maxemerge Plus Planter
5/17/2012,T1,T1R1,Soil Preparation,"John Deere 726 15'9"" soil finisher"
5/16/2012,T1,T1R1,Soil Preparation,John Deere 714 Chisel plow
4/19/2012,T1,T1R1,Fertilizer application,Gandy Orbit-Air (30' boom)
4/17/2012,T1,T1R1,Fertilizer application,Gandy Orbit-Air (30' boom)
4/11/2012,T1,T1R1,Fertilizer application,Other
12/17/2011,T1,T1R1,Mowing,John Deere 115 15' flail mower
11/14/2011,T1,T1R1,Harvest,Truck #1271 (Blue/White)
11/14/2011,T1,T1R1,Harvest,Truck #1270 (White/Green)
11/14/2011,T1,T1R1,Harvest,John Deere  9410 combine
11/14/2011,T1,T1R1,Harvest,"Weigh Wagon, Brent by Unverferth Manufacturing Co."
6/15/2011,T1,T1R1,Fertilizer application,28% CLARK Six Row Fertilizer Applicator
5/11/2011,T1,T1R1,Weed control,TurboTeeJet 11003 Flat Fan Nozzle
5/11/2011,T1,T1R1,Weed control,Top Air Sprayer
5/9/2011,T1,T1R1,Fertilizer application,John Deere 1730 Maxemerge Plus Planter
5/9/2011,T1,T1R1,Planting,John Deere 1730 Maxemerge Plus Planter
5/6/2011,T1,T1R1,Soil Preparation,"John Deere 726 15'9"" soil finisher"
5/5/2011,T1,T1R1,Soil Preparation,John Deere 714 Chisel plow
3/30/2011,T1,T1R1,Fertilizer application,Gandy Orbit-Air (30' boom)
9/10/2010,T1,T1R1,Weed control,John Deere 115 15' flail mower
8/17/2010,T1,T1R1,Weed control,TurboTeeJet 11003 Flat Fan Nozzle
8/17/2010,T1,T1R1,Weed control,Top Air Sprayer
7/16/2010,T1,T1R1,Harvest,baler
7/14/2010,T1,T1R1,Harvest,combine
7/14/2010,T1,T1R1,Harvest,"Weigh Wagon, Brent by Unverferth Manufacturing Co."
4/29/2010,T1,T1R1,Fertilizer application,Top Air Sprayer
4/29/2010,T1,T1R1,Fertilizer application,Turbo TeeJet 11005 Flat Fan Nozzle
4/21/2010,T1,T1R1,Fertilizer application,Top Air Sprayer
4/21/2010,T1,T1R1,Fertilizer application,Turbo TeeJet 11005 Flat Fan Nozzle
4/20/2010,T1,T1R1,Weed control,TurboTeeJet 11003 Flat Fan Nozzle
4/20/2010,T1,T1R1,Weed control,Top Air Sprayer
4/14/2010,T1,T1R1,Weed control,TurboTeeJet 11003 Flat Fan Nozzle
4/14/2010,T1,T1R1,Weed control,Top Air Sprayer
11/6/2009,T1,T1R1,Planting,John Deere 750 10' no-till drill
10/16/2009,T1,T1R1,Harvest,John Deere  9410 combine
10/16/2009,T1,T1R1,Harvest,"Weigh Wagon, Brent by Unverferth Manufacturing Co."
6/24/2009,T1,T1R1,Weed control,TurboTeeJet 11003 Flat Fan Nozzle
6/24/2009,T1,T1R1,Weed control,Top Air Sprayer
5/20/2009,T1,T1R1,Planting,John Deere 1730 Maxemerge Plus Planter
5/20/2009,T1,T1R1,Soil Preparation,"John Deere 726 15'9"" soil finisher"
5/15/2009,T1,T1R1,Fertilizer application,Gandy Orbit-Air (30' boom)
5/15/2009,T1,T1R1,Soil Preparation,John Deere 714 Chisel plow
10/22/2008,T1,T1R1,Mowing,John Deere 115 15' flail mower
10/20/2008,T1,T1R1,Harvest,"Weigh Wagon, Brent by Unverferth Manufacturing Co."
10/20/2008,T1,T1R1,Harvest,truck - for hauling
10/20/2008,T1,T1R1,Harvest,John Deere  9410 combine
10/7/2008,T1,T1R1,Mowing,John Deere 115 15' flail mower
6/19/2008,T1,T1R1,Fertilizer application,28% CLARK Six Row Fertilizer Applicator
5/9/2008,T1,T1R1,Soil Preparation,"John Deere 726 15'9"" soil finisher"
5/9/2008,T1,T1R1,Planting,John Deere 1730 Maxemerge Plus Planter
5/9/2008,T1,T1R1,Weed control,Demco 3-point mounted sprayer
5/9/2008,T1,T1R1,Pesticide application,Demco 3-point mounted sprayer
5/9/2008,T1,T1R1,Fertilizer application,John Deere 1730 Maxemerge Plus Planter
5/9/2008,T1,T1R1,Weed control,8002 Flat Fan Nozzles
5/9/2008,T1,T1R1,Pesticide application,8002 Flat Fan Nozzles
5/6/2008,T1,T1R1,Soil Preparation,John Deere 714 Chisel plow
5/1/2008,T1,T1R1,Fertilizer application,Gandy Orbit-Air (30' boom)
9/22/2007,T1,T1R1,Pesticide application,Top Air Sprayer
8/29/2007,T1,T1R1,Mowing,John Deere 115 15' flail mower
7/13/2007,T1,T1R1,Harvest,baler
7/10/2007,T1,T1R1,Harvest,John Deere  9410 combine
7/10/2007,T1,T1R1,Harvest,"Weigh Wagon, Brent by Unverferth Manufacturing Co."
7/10/2007,T1,T1R1,Harvest,truck - for hauling
4/24/2007,T1,T1R1,Fertilizer application,Top Air Sprayer
4/21/2007,T1,T1R1,Pesticide application,Top Air Sprayer
3/30/2007,T1,T1R1,Fertilizer application,Gandy Orbit-Air (30' boom)
11/6/2006,T1,T1R1,Planting,John Deere 750 10' no-till drill
10/10/2006,T1,T1R1,Harvest,truck - for hauling
10/10/2006,T1,T1R1,Harvest,John Deere  9410 combine
10/10/2006,T1,T1R1,Harvest,Weigh Wagon 
7/7/2006,T1,T1R1,Pesticide application,Top Air Sprayer
6/5/2006,T1,T1R1,Planting,John Deere 1730 Maxemerge Plus Planter
5/5/2006,T1,T1R1,Soil Preparation,John Deere 714 Chisel plow
4/19/2006,T1,T1R1,Fertilizer application,Gandy Orbit-Air (15' boom)
10/11/2005,T1,T1R1,Harvest,John Deere  9410 combine
10/11/2005,T1,T1R1,Harvest,Weigh Wagon 
6/20/2005,T1,T1R1,Fertilizer application,28% CLARK Six Row Fertilizer Applicator
5/4/2005,T1,T1R1,Fertilizer application,John Deere 1730 Maxemerge Plus Planter
5/4/2005,T1,T1R1,Planting,John Deere 1730 Maxemerge Plus Planter
5/3/2005,T1,T1R1,Soil Preparation,"John Deere 726 15'9"" soil finisher"
4/25/2005,T1,T1R1,Soil Preparation,John Deere 714 Chisel plow
4/16/2005,T1,T1R1,Fertilizer application,Gandy Air Seeder
9/10/2004,T1,T1R1,Mowing,John Deere 115 15' flail mower
9/4/2004,T1,T1R1,Pesticide application,Top Air Sprayer
9/2/2004,T1,T1R1,Mowing,John Deere 115 15' flail mower
7/14/2004,T1,T1R1,Harvest,New Holland 1038 Stackliner (Bale Stacker)
7/14/2004,T1,T1R1,Harvest,baler
7/13/2004,T1,T1R1,Harvest,Weigh Wagon 
7/13/2004,T1,T1R1,Harvest,truck - for hauling
7/13/2004,T1,T1R1,Harvest,John Deere  9410 combine
4/16/2004,T1,T1R1,Fertilizer application,Turbo TeeJet 11005 Flat Fan Nozzle
4/16/2004,T1,T1R1,Fertilizer application,Top Air Sprayer
4/15/2004,T1,T1R1,Pesticide application,Top Air Sprayer
10/10/2003,T1,T1R1,Soil Preparation,"John Deere 726 15'9"" soil finisher"
10/10/2003,T1,T1R1,Planting,John Deere 450 conventional 10' drill
10/8/2003,T1,T1R1,Fertilizer application,Willmar 5-ton PTO-driven spinner spreader
10/6/2003,T1,T1R1,Harvest,John Deere  9410 combine
6/30/2003,T1,T1R1,Weed control,Top Air Sprayer
6/5/2003,T1,T1R1,Weed control,Top Air Sprayer
5/28/2003,T1,T1R1,Planting,John Deere 1730 Maxemerge Plus Planter
5/27/2003,T1,T1R1,Soil Preparation,John Deere 960 10' field cultivator
5/23/2003,T1,T1R1,Soil Preparation,Chisel plow --type unknown
4/26/2003,T1,T1R1,Fertilizer application,Willmar 5-ton PTO-driven spinner spreader
10/31/2002,T1,T1R1,Weed control,mower
10/31/2002,T1,T1R1,Harvest,unknown
10/28/2002,T1,T1R1,Harvest,unknown
10/23/2002,T1,T1R1,Harvest,unknown
10/16/2002,T1,T1R1,Observation,unknown
7/1/2002,T1,T1R1,Fertilizer application,unknown
6/19/2002,T1,T1R1,Weed control,row cultivator --type unknown
5/28/2002,T1,T1R1,Soil Preparation,Rotary Hoe
5/11/2002,T1,T1R1,Pesticide application,Top Air Sprayer
5/10/2002,T1,T1R1,Planting,John Deere 7300 six row planter
5/10/2002,T1,T1R1,Fertilizer application,John Deere 7300 six row planter
5/8/2002,T1,T1R1,Soil Preparation,"John Deere 726 15'9"" soil finisher"
4/20/2002,T1,T1R1,Fertilizer application,Willmar 5-ton PTO-driven spinner spreader
4/19/2002,T1,T1R1,Soil Preparation,"John Deere 726 15'9"" soil finisher"
4/17/2002,T1,T1R1,Soil Preparation,John Deere 714 Chisel plow
8/24/2001,T1,T1R1,Pesticide application,Top Air Sprayer
7/30/2001,T1,T1R1,Harvest,baler
7/30/2001,T1,T1R1,Harvest,New Holland 1038 Stackliner (Bale Stacker)
7/30/2001,T1,T1R1,Harvest,John Deere 385 round baler
7/17/2001,T1,T1R1,Harvest,John Deere  9410 combine
7/17/2001,T1,T1R1,Harvest,Weigh Wagon 
4/28/2001,T1,T1R1,Pesticide application,Top Air Sprayer
4/18/2001,T1,T1R1,Fertilizer application,Top Air Sprayer
4/5/2001,T1,T1R1,Fertilizer application,Top Air Sprayer
10/30/2000,T1,T1R1,Planting,John Deere 750 10' no-till drill
10/20/2000,T1,T1R1,Soil Preparation,soil finisher --type unknown
10/12/2000,T1,T1R1,Harvest,unknown
10/11/2000,T1,T1R1,Harvest,unknown
6/23/2000,T1,T1R1,Weed control,Top Air Sprayer
5/25/2000,T1,T1R1,Soil Preparation,soil finisher --type unknown
5/25/2000,T1,T1R1,Planting,John Deere 750 10' no-till drill
5/8/2000,T1,T1R1,Soil Preparation,Disc: Krause 2204A Tandem Rock Flex 14 ft  Wheel Disc
5/4/2000,T1,T1R1,Soil Preparation,Glencoe Soil Saver - 'Nine Shank Chisel Plow'
10/5/1999,T1,T1R1,Harvest,combine
6/30/1999,T1,T1R1,Fertilizer application,Gandy Orbit-Air (15' boom)
6/30/1999,T1,T1R1,Weed control,Case IH 183 S-tine 6 row cultivator
5/19/1999,T1,T1R1,Fertilizer application,Buffalo planter
5/19/1999,T1,T1R1,Planting,Buffalo planter
5/3/1999,T1,T1R1,Soil Preparation,"chisel plow with narrow 4"" twist spades"
4/20/1999,T1,T1R1,Fertilizer application,Terra-Gator
7/20/1998,T1,T1R1,Harvest,combine
7/11/1998,T1,T1R1,Harvest,combine
4/20/1998,T1,T1R1,Fertilizer application,unknown
10/22/1997,T1,T1R1,Planting,unknown
10/22/1997,T1,T1R1,Soil Preparation,cultipacker
10/22/1997,T1,T1R1,Soil Preparation,row cultivator --type unknown
10/21/1997,T1,T1R1,Soil Preparation,disk
10/17/1997,T1,T1R1,Harvest,John Deere 4425 combine
10/17/1997,T1,T1R1,Harvest,John Deere 4425 combine
5/22/1997,T1,T1R1,Planting,John Deere 750 10' no-till drill
5/13/1997,T1,T1R1,Soil Preparation,disk
5/12/1997,T1,T1R1,Soil Preparation,three bottom moldboard plow
4/10/1997,T1,T1R1,Fertilizer application,unknown
4/9/1997,T1,T1R1,Fertilizer application,unknown
4/4/1997,T1,T1R1,Harvest,flail mower
11/2/1996,T1,T1R1,Harvest,unknown
7/1/1996,T1,T1R1,Harvest,haybine
6/27/1996,T1,T1R1,Fertilizer application,Gandy Orbit-Air (15' boom)
6/27/1996,T1,T1R1,Weed control,Case IH 183 S-tine 6 row cultivator
6/26/1996,T1,T1R1,Weed control,bander
6/14/1996,T1,T1R1,Weed control,broadcast sprayer
5/21/1996,T1,T1R1,Weed control,row cultivator --type unknown
5/14/1996,T1,T1R1,Fertilizer application,planter 
5/14/1996,T1,T1R1,Soil Preparation,Buffalo no-till planter
5/14/1996,T1,T1R1,Planting,row cultivator --type unknown
5/14/1996,T1,T1R1,Fertilizer application,row cultivator --type unknown
5/14/1996,T1,T1R1,Fertilizer application,Buffalo no-till planter
5/14/1996,T1,T1R1,Weed control,row cultivator --type unknown
5/14/1996,T1,T1R1,Planting,Buffalo no-till planter
